district,fmt,alert_num,source,time_posted,author_text,site,screen_name,profile_url,locations,geodata,rmap_match,content,link
hobbs_nm,old,233608744,twitter,"Fri, Dec 8, 2017 10:27 AM",Justin,www.twitter.com,Cpt_Martinez,www.twitter.com/Cpt_Martinez,Hobbs Hometown Match,"32.702610, -103.136040",GeoFence,"You have gotta be the dumbest Bitch I know and I hardly ever call a girl bitch but you
are one so ya.",https://live.socialsentinel.com/v/pdf/-woAAA/2azxa7
hobbs_nm,old,234154082,twitter,"Sun, Dec 10, 2017 11:09 AM",8-8 on the way,www.twitter.com,TheNewErikT93,www.twitter.com/TheNewErikT93,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Dez can kiss my ass im done defending him,https://live.socialsentinel.com/v/pdf/-woAAA/2bbm2h
hobbs_nm,old,234549719,twitter,"Mon, Dec 11, 2017 5:55 PM",Justin,www.twitter.com,Cpt_Martinez,www.twitter.com/Cpt_Martinez,Hobbs Hometown Match,"32.702610, -103.136040",Local+,I just wanna take you out an show you off,https://live.socialsentinel.com/v/pdf/-woAAA/2bk3ce
hobbs_nm,old,234624969,twitter,"Mon, Dec 11, 2017 9:02 PM",8-8 on the way,www.twitter.com,TheNewErikT93,www.twitter.com/TheNewErikT93,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"A womans idea of shooting her shot is liking a random tweet and expecting you to DM
her.",https://live.socialsentinel.com/v/pdf/-woAAA/2blpeo
hobbs_nm,old,234643375,twitter,"Mon, Dec 11, 2017 11:53 PM",LELA,www.twitter.com,martiinez_25,www.twitter.com/martiinez_25,Hobbs Hometown Match,"32.702610, -103.136040",Local+,I get mad when marco carries his truck in the gun but now I see why,https://live.socialsentinel.com/v/pdf/-woAAA/2bm3ly
hobbs_nm,old,234648859,twitter,"Mon, Dec 11, 2017 11:51 PM",LELA,www.twitter.com,martiinez_25,www.twitter.com/martiinez_25,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"Good thing his helper had his gun and he walked outside on them and was able to call
the cops",https://live.socialsentinel.com/v/pdf/-woAAA/2bm7ua
hobbs_nm,old,234650399,twitter,"Mon, Dec 11, 2017 11:54 PM",LELA,www.twitter.com,martiinez_25,www.twitter.com/martiinez_25,Hobbs Hometown Match,"32.702610, -103.136040",Local+,I get mad when marco carries his gun in the truck but now I know why,https://live.socialsentinel.com/v/pdf/-woAAA/2bm912
hobbs_nm,old,234754414,twitter,"Tue, Dec 12, 2017 11:31 AM",Steven M Schnaubert,www.twitter.com,SchnaubertM,www.twitter.com/SchnaubertM,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"@petehudson101 Man he needs his ass kicked! No respect, he’s one of the worst that
reports FAKE NEWS",https://live.socialsentinel.com/v/pdf/-woAAA/2bohad
hobbs_nm,old,234785650,twitter,"Tue, Dec 12, 2017 1:18 PM",gracie,www.twitter.com,_gracielee_,www.twitter.com/_gracielee_,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"Why does Hobbs gotta act and say they are gonna shoot up the school.? I’m not in class
now getting the good grades… https://t.co/d2EDnorFzG",https://live.socialsentinel.com/v/pdf/DgsAAA/2bp5e1
hobbs_nm,old,234853332,twitter,"Tue, Dec 12, 2017 6:00 PM",MAYRA,www.twitter.com,MayraWestAf,www.twitter.com/MayraWestAf,Hobbs Hometown Match,"32.680275, -103.201767",Local+,"Nolen is about to give me a heart attack man he will not let me finish this exam I'm
gonna have a mental breakdown",https://live.socialsentinel.com/v/pdf/DgsAAA/2bqlm3
hobbs_nm,old,234989471,twitter,"Wed, Dec 13, 2017 5:51 AM",Chelsea,www.twitter.com,Chelss_Gauthier,www.twitter.com/Chelss_Gauthier,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"3 finals today, and I'm done.",https://live.socialsentinel.com/v/pdf/DgsAAA/2btinq
hobbs_nm,old,235034441,twitter,"Wed, Dec 13, 2017 9:25 AM",Dono,www.twitter.com,DonovanOrosco,www.twitter.com/DonovanOrosco,Hobbs Hometown Match,"32.702610, -103.136040",Local+,@brendah_x @aleighza_ I was shooting for the mcgregor voice but ratchet works too,https://live.socialsentinel.com/v/pdf/DwsAAA/2buhcw
hobbs_nm,old,235192440,twitter,"Wed, Dec 13, 2017 7:27 PM",8-8 on the way,www.twitter.com,TheNewErikT93,www.twitter.com/TheNewErikT93,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Whats Lebrons shooting percentage excluding lay ups?,https://live.socialsentinel.com/v/pdf/DwsAAA/2bxv9r
